Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,I Know - Radio Edit,0.00273,0.689,0.663,0.000489,6,0.0903,-5.04,0.0335,121.998,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Just Fine - Shift K3Y Remix,0.0166,0.708,0.933,8.05E-05,0,0.253,-4.465,0.0796,125.997,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Best Life - Shift K3Y Remix,0.0736,0.807,0.881,2.88E-05,6,0.106,-5.242,0.0849,129.974,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Gone Missing,0.023,0.641,0.919,3.77E-05,5,0.324,-2.098,0.0421,128.028,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Entirety - Galantis Remix,0.0965,0.889,0.604,7.38E-05,2,0.0813,-4.468,0.3,125.001,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,Runnin',0.000653,0.551,0.935,0.00217,0,0.298,-4.101,0.0368,123.037,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,Heard It All Before,0.021,0.689,0.874,0,10,0.335,-5.121,0.0571,123.012,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,Can't Lie,0.00618,0.675,0.904,0,10,0.338,-3.477,0.0393,122.99,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,Playing Drunk,0.000925,0.802,0.979,0.38,9,0.818,-5.277,0.052,123.996,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,One Day,0.00092,0.642,0.841,0.898,10,0.0563,-8.248,0.0581,125.007,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,So Real - Low Steppa Club Mix,0.0167,0.8,0.845,0.692,7,0.516,-6.435,0.105,122.035,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,No Love - Club Mix,0.00368,0.638,0.874,8.32E-05,1,0.177,-5.9,0.187,122.976,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,I Won't Stop,0.00437,0.663,0.948,0.0595,10,0.296,-3.834,0.0341,123.992,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,Promo Tool,0.000666,0.811,0.865,0.353,11,0.0599,-7.286,0.141,124.995,,,,
Low Steppa,5OImcY3khBn9UFjzgaapob,Heard It All Before - Low Steppa's Warehouse Mix,0.0108,0.78,0.778,3.27E-06,6,0.867,-6.267,0.14,123.034,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Back & Forth,0.0181,0.684,0.816,0,10,0.0222,-5.211,0.0322,121.993,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,17,0.00149,0.703,0.832,0.127,0,0.0696,-7.202,0.0689,122.029,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Piece of Me,0.00565,0.68,0.913,0,5,0.288,-2.343,0.0844,121.961,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Thunderclouds - MK Remix,0.0252,0.735,0.816,0.49,11,0.0787,-9.985,0.071,124.007,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Promises (with Sam Smith) - MK Remix,0.0109,0.728,0.912,0.309,1,0.0493,-6.047,0.0409,122.975,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,17 - 6am Remix,0.00393,0.71,0.625,0.471,8,0.318,-8.331,0.0346,120.023,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Push The Feeling On - Mk Dub Revisited Edit,0.0308,0.8,0.502,1.19E-05,6,0.211,-13.298,0.032,123.041,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Look Right Through - Mk Vocal Edit,0.00212,0.834,0.819,0.00306,0,0.279,-7.989,0.0841,119.99,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,I Went Too Far - MK Remix / Radio Version,0.0425,0.674,0.754,0.00536,7,0.12,-6.468,0.0387,120.049,,,,
MK,1yqxFtPHKcGcv6SXZNdyT9,Back & Forth - MK Dub,0.00864,0.761,0.503,0,10,0.0658,-7.57,0.0392,123.991,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Dancin' Kinda Close,0.00547,0.757,0.762,0.0276,6,0.0431,-6.868,0.0733,123.02,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,So Freakin' Tight,0.00858,0.784,0.839,0.00366,0,0.373,-6.81,0.0426,123.988,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Rain Dance,0.167,0.7,0.96,0.00601,7,0.305,-4.885,0.0974,124.899,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Closer To Love - Main Mix,0.0012,0.679,0.872,0.000203,6,0.216,-5.817,0.032,123.996,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Missing Love,0.00137,0.602,0.882,0.772,8,0.0591,-5.023,0.0363,125.02,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Get Low,0.00929,0.779,0.885,0.000833,0,0.115,-5.238,0.0376,126.007,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Pony (Jump On It) - Radio Mix,0.0127,0.676,0.834,0.00568,6,0.401,-5.927,0.0443,124.024,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,What You Need Is Me - Dub Mix,0.0226,0.778,0.875,0.843,5,0.0679,-5.753,0.0627,123.018,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Pony (Jump On It) - Leon Lour Remix,0.00408,0.71,0.873,0.00131,9,0.338,-6.852,0.173,123.988,,,,
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Wired,0.000333,0.807,0.744,0.852,9,0.559,-9.599,0.0518,124,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,I Follow Rivers - The Magician Remix,0.0234,0.786,0.696,0.0019,9,0.0839,-5.796,0.0428,121.974,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,SHY (feat. Brayton Bowman),0.00995,0.601,0.802,0.00392,1,0.131,-3.882,0.0511,122.979,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Sunlight (feat. Years and Years) - Radio Edit,0.0114,0.633,0.818,0,1,0.259,-5.437,0.0376,121.975,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Las Vegas,0.0319,0.783,0.718,6.57E-06,11,0.123,-5.82,0.0636,105.011,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Side Effects - The Magician Remix,0.00134,0.772,0.504,0.00138,0,0.0789,-9.857,0.0762,110.003,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Love Break,0.133,0.711,0.864,0,10,0.0943,-4.548,0.0813,102.004,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Rather Be (feat. Jess Glynne) - The Magician Remix,0.0154,0.807,0.731,0.0775,1,0.0974,-6.871,0.0432,121.018,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Build a Fire,0.00486,0.757,0.845,2.37E-05,4,0.109,-3.634,0.134,103.95,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Tied Up,0.166,0.813,0.78,0,6,0.0884,-3.863,0.0434,109.971,,,,
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Together,0.111,0.709,0.861,7.86E-05,10,0.13,-4.091,0.0373,121.995,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,I Wanna Feel,0.0693,0.69,0.895,0.00237,10,0.102,-6.305,0.0596,122.022,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,I Enter - Original Mix,0.000499,0.829,0.727,0.852,10,0.0352,-9.199,0.0563,123.002,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Never Been In Love,0.126,0.772,0.889,0.121,1,0.14,-6.336,0.325,122.066,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Tomorrowâ€™s World,0.000576,0.565,0.916,0.162,5,0.0496,-7.009,0.19,126.03,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Aâ€™ndia,0.0161,0.838,0.963,0.732,1,0.0824,-6.445,0.0644,125.006,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Kwelanga,0.00207,0.742,0.965,0.915,11,0.0454,-6.869,0.0417,124.007,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Set You Free - Secondcity Terrace 91 Remix,0.19,0.858,0.83,0.656,10,0.105,-7.39,0.0672,124.979,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Can You Feel It,0.101,0.797,0.953,0.928,5,0.0862,-7.516,0.0483,124.997,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,ILanga,0.00088,0.77,0.876,0.851,11,0.0808,-6.912,0.0673,126.005,,,,
Secondcity,2ew9JvyyuOGkhahuwdovDq,Funk'd,0.0121,0.79,0.875,0.929,0,0.52,-10.191,0.0557,124.002,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Me Without You,0.0285,0.729,0.613,0.000104,6,0.0737,-6.933,0.0989,111.94,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Clap Your Hands (feat. Ava Max),0.00507,0.788,0.824,0.00752,11,0.183,-4.85,0.0761,111.988,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,If You're Leaving,0.0119,0.709,0.764,0.00111,7,0.355,-6.221,0.0601,120.093,,,,
